emp_no,first_name,last_name,birth_date,from_date,to_date,title
10002,Bezalel,Simmel,1964-06-02,1996-08-03,9999-01-01,Staff
10010,Duangkaew,Piveteau,1963-06-01,2000-06-26,9999-01-01,Engineer
10013,Eberhardt,Terkki,1963-06-07,1985-10-20,9999-01-01,Senior Staff
10037,Pradeep,Makrucki,1963-07-22,1990-12-05,9999-01-01,Engineer
10065,Satosi,Awdeh,1963-04-14,1998-05-24,9999-01-01,Engineer
10077,Mona,Azuma,1964-04-18,1994-12-23,9999-01-01,Staff
10089,Sudharsan,Flasterstein,1963-03-21,1989-01-10,9999-01-01,Senior Staff
10092,Valdiodio,Niizuma,1964-10-18,1996-04-22,9999-01-01,Engineer
10093,Sailaja,Desikan,1964-06-11,1997-06-08,9999-01-01,Staff
10095,Hilari,Morton,1965-01-03,1994-03-10,9999-01-01,Staff
10111,Hugo,Rosis,1963-08-29,1988-12-19,9999-01-01,Engineer
10112,Yuichiro,Swick,1963-08-13,1998-05-01,9999-01-01,Staff
10113,Jaewon,Syrzycki,1963-11-13,1998-09-14,9999-01-01,Engineer
10122,Ohad,Esposito,1965-01-19,1998-08-06,9999-01-01,Technique Leader
10133,Giri,Isaak,1963-12-12,1985-12-15,9999-01-01,Engineer
10139,Ewing,Foong,1963-03-03,1998-03-15,9999-01-01,Engineer
10147,Kazuhito,Encarnacion,1964-10-13,1987-12-18,9999-01-01,Senior Staff
10156,Sumali,Fargier,1964-09-19,1993-05-14,9999-01-01,Senior Engineer
10168,Dharmaraja,Stassinopoulos,1964-09-11,1986-12-06,9999-01-01,Senior Staff
10178,Valery,Litvinov,1963-03-13,1994-03-21,9999-01-01,Staff
10181,Sibyl,Nooteboom,1963-01-22,1988-06-22,9999-01-01,Senior Engineer
10190,Arve,Fairtlough,1964-12-11,1986-06-23,9999-01-01,Senior Engineer
10197,Kasidit,Krzyzanowski,1963-08-06,1994-06-28,9999-01-01,Senior Engineer
10211,Vishu,Strehl,1964-08-05,1991-11-22,9999-01-01,Senior Engineer
10213,Jackson,Kakkad,1964-05-24,1994-10-06,9999-01-01,Staff
10223,Carrsten,Schmiedel,1963-09-17,1998-04-01,9999-01-01,Engineer
10226,Xinglin,Plessier,1964-12-28,1996-01-29,9999-01-01,Staff
10231,Shaowen,Desikan,1963-07-21,1998-09-09,9999-01-01,Staff
10238,Mototsugu,Gire,1964-11-02,1996-05-25,9999-01-01,Engineer
10242,Lunjin,Ozeri,1964-02-22,1988-01-18,9999-01-01,Senior Engineer
